year,weeksofar,id,team,massey,normalizedMassey
2016,3,28,San Francisco 49ers Offense,0.5254721711,0.5468304291
2016,3,4,Buffalo Bills Offense,0.520620641,0.5457340582
2016,3,55,Las Vegas Raiders Defense,0.4745910905,0.5353320904
2016,3,63,Tennessee Titans Defense,0.4325463728,0.5258306333
2016,3,60,San Francisco 49ers Defense,0.3432110889,0.5056422382
2016,3,53,New York Giants Defense,0.3043839456,0.4968679032
2016,3,52,New Orleans Saints Defense,0.2693687877,0.4889550181
2016,3,47,Jacksonville Jaguars Defense,0.2577161212,0.4863216954
2016,3,41,Dallas Cowboys Defense,0.1931346632,0.4717272828
2016,3,48,Kansas City Chiefs Defense,0.1758564154,0.4678226656
2016,3,51,New England Patriots Defense,0.01714518423,0.4319563775
2016,3,15,Jacksonville Jaguars Offense,-0.00211238052,0.4276044651
2016,3,40,Cleveland Browns Defense,-0.06795923577,0.4127240924
2016,3,23,Las Vegas Raiders Offense,-0.102558357,0.4049052251
2016,3,62,Tampa Bay Buccaneers Defense,-0.163474627,0.3911390885
2016,3,31,Tennessee Titans Offense,-0.1966960803,0.3836315529
2016,3,38,Chicago Bears Defense,-0.2002806341,0.3828214991
2016,3,12,Green Bay Packers Offense,-0.2215907034,0.3780057524
2016,3,22,New York Jets Offense,-0.2245834863,0.3773294297
2016,3,8,Cleveland Browns Offense,-0.4045201183,0.3366665286
2016,3,30,Tampa Bay Buccaneers Offense,-0.4862036729,0.3182073063
2016,3,21,New York Giants Offense,-0.5075031969,0.3133939427
2016,3,9,Dallas Cowboys Offense,-0.56490191,0.3004227196
2016,3,10,Denver Broncos Offense,-0.5685264689,0.2996036253
2016,3,25,Pittsburgh Steelers Offense,-0.6635763177,0.2781238268
2016,3,26,Los Angeles Rams Offense,-0.8820098115,0.2287612293
2016,3,6,Chicago Bears Offense,-0.9056933257,0.2234091207
2016,3,27,Los Angeles Chargers Offense,-0.973981256,0.2079771027
