year,weekssofar,ID,name,massey,normalizedMassey
2013,3,57,Pittsburgh Steelers Defense,-3.81358649,0.2828612943
2013,3,39,Cincinnati Bengals Defense,-3.828841268,0.2822340435
2013,3,55,Las Vegas Raiders Defense,-3.950410556,0.2772353193
2013,3,33,Arizona Cardinals Defense,-4.433486325,0.257372058
2013,3,59,Los Angeles Chargers Defense,-4.462877774,0.2561635311
2013,3,41,Dallas Cowboys Defense,-4.495664985,0.2548153763
2013,3,46,Indianapolis Colts Defense,-4.736288786,0.2449213312
2013,3,36,Buffalo Bills Defense,-4.739983518,0.24476941
2013,3,53,New York Giants Defense,-4.869401164,0.2394479745
2013,3,63,Tennessee Titans Defense,-5.039782165,0.232442195
2013,3,43,Detroit Lions Defense,-5.104102718,0.2297974422
2013,3,42,Denver Broncos Defense,-5.318620261,0.2209768424
2013,3,51,New England Patriots Defense,-5.571631669,0.2105734398
2013,3,50,Minnesota Vikings Defense,-6.396877161,0.1766407362
2013,3,64,Washington Commanders Defense,-6.706654978,0.1639031945
2013,3,47,Jacksonville Jaguars Defense,-6.95816021,0.1535617233
2013,3,56,Philadelphia Eagles Defense,-7.416958147,0.1346967255
2013,3,45,Houston Texans Defense,-7.768892722,0.1202257689
2013,3,34,Atlanta Falcons Defense,-8.489708023,0.09058705873
2013,3,44,Green Bay Packers Defense,-8.646287632,0.08414876914
2013,3,35,Baltimore Ravens Defense,-9.218542836,0.06061859971
2013,3,60,San Francisco 49ers Defense,-10.692791,0
2013,4,10,Denver Broncos Offense,13.86409044,1
2013,4,3,Baltimore Ravens Offense,12.87851248,0.9588256872
2013,4,28,San Francisco 49ers Offense,11.96461734,0.9206460549
2013,4,19,New England Patriots Offense,9.653038333,0.8240756352
2013,4,2,Atlanta Falcons Offense,9.428265321,0.8146853335
2013,4,29,Seattle Seahawks Offense,9.017492644,0.7975245575
2013,4,12,Green Bay Packers Offense,8.936999215,0.794161798
2013,4,13,Houston Texans Offense,6.767143771,0.7035121381
2013,4,20,New Orleans Saints Offense,6.261278111,0.6823786796
2013,4,18,Minnesota Vikings Offense,6.042936915,0.6732570788
2013,4,27,Los Angeles Chargers Offense,5.91349223,0.6678492915
2013,4,6,Chicago Bears Offense,5.694357734,0.6586945492
2013,4,9,Dallas Cowboys Offense,5.605324933,0.6549750419
2013,4,32,Washington Commanders Offense,5.012729428,0.6302182863
2013,4,14,Indianapolis Colts Offense,4.977393779,0.6287420752
2013,4,11,Detroit Lions Offense,4.932030881,0.6268469576
2013,4,7,Cincinnati Bengals Offense,4.310277879,0.6008720945
2013,4,5,Carolina Panthers Offense,4.214288235,0.5968619524
2013,4,24,Philadelphia Eagles Offense,4.093411246,0.5918120963
2013,4,31,Tennessee Titans Offense,3.725806852,0.5764547537
2013,4,4,Buffalo Bills Offense,3.612467758,0.5717198068
2013,4,17,Miami Dolphins Offense,3.405497049,0.5630732288
2013,4,16,Kansas City Chiefs Offense,2.903350964,0.5420951623
2013,4,25,Pittsburgh Steelers Offense,2.538662286,0.5268596291
2013,4,23,Las Vegas Raiders Offense,2.50486335,0.5254476171
2013,4,21,New York Giants Offense,2.46256795,0.5236806497
2013,4,30,Tampa Bay Buccaneers Offense,1.899043949,0.5001384091
2013,4,26,Los Angeles Rams Offense,1.661578743,0.490217868
2013,4,8,Cleveland Browns Offense,1.584075008,0.4869800084
2013,4,22,New York Jets Offense,1.439172282,0.4809264334
2013,4,1,Arizona Cardinals Offense,1.082438299,0.466023222
2013,4,15,Jacksonville Jaguars Offense,0.2002803511,0.4291694684
2013,4,37,Carolina Panthers Defense,-0.4882208237,0.4004060789
2013,4,48,Kansas City Chiefs Defense,-1.807661126,0.3452840592
2013,4,40,Cleveland Browns Defense,-2.145528835,0.3311690208
2013,4,52,New Orleans Saints Defense,-2.725081954,0.3069571346
2013,4,61,Seattle Seahawks Defense,-2.940896232,0.2979411004
2013,4,62,Tampa Bay Buccaneers Defense,-3.308807822,0.2825709242
2013,4,49,Miami Dolphins Defense,-3.820242534,0.2612048084
2013,4,46,Indianapolis Colts Defense,-3.894484857,0.2581032002
2013,4,55,Las Vegas Raiders Defense,-3.95084391,0.2557486982
2013,4,39,Cincinnati Bengals Defense,-3.978513255,0.254592761
2013,4,54,New York Jets Defense,-3.999130911,0.2537314209
2013,4,33,Arizona Cardinals Defense,-4.328893557,0.2399549862
2013,4,36,Buffalo Bills Defense,-4.507665402,0.2324864671
2013,4,58,Los Angeles Rams Defense,-4.645125657,0.2267438148
