season,weeksofar,teamID,team,massey,normalizedMassey
2013,5,30,Tampa Bay Buccaneers,-0.764407275,0.4234026394
2013,5,31,Tennessee Titans,-0.8127592213,0.4185674447
2013,5,22,New York Jets,-0.9146668396,0.4083766829
2013,5,26,Los Angeles Rams,-1.17237975,0.3826053919
2013,5,4,Buffalo Bills,-1.267913808,0.3730519861
2013,5,18,Minnesota Vikings,-1.483765199,0.3514668469
2013,5,32,Washington Commanders,-1.747859975,0.3250573694
2013,5,24,Philadelphia Eagles,-2.178089094,0.2820344574
2013,5,25,Pittsburgh Steelers,-2.402669568,0.25957641
2013,5,21,New York Giants,-2.875684106,0.2122749563
2013,5,15,Jacksonville Jaguars,-4.998433669,0
2013,6,10,Denver Broncos,5.048782591,1
2013,6,28,San Francisco 49ers,3.204327525,0.8155544934
2013,6,29,Seattle Seahawks,3.183242936,0.8134460345
2013,6,3,Baltimore Ravens,2.860762979,0.7811980388
2013,6,16,Kansas City Chiefs,2.321312345,0.7272529754
2013,6,20,New Orleans Saints,2.156504856,0.7107722265
2013,6,19,New England Patriots,1.597653766,0.6548871175
2013,6,12,Green Bay Packers,1.096981451,0.6048198859
2013,6,7,Cincinnati Bengals,1.039555762,0.5990773171
2013,6,5,Carolina Panthers,0.8565870289,0.5807804438
2013,6,14,Indianapolis Colts,0.6851322767,0.5636349686
2013,6,27,Los Angeles Chargers,0.5574836702,0.5508701079
2013,6,17,Miami Dolphins,0.4478116889,0.5399029098
2013,6,11,Detroit Lions,0.3880471577,0.5339264567
2013,6,9,Dallas Cowboys,0.1941012953,0.5145318704
2013,6,6,Chicago Bears,0.158662712,0.5109880121
2013,6,2,Atlanta Falcons,-0.4023606827,0.4548856726
2013,6,8,Cleveland Browns,-0.4333620739,0.4517855335
2013,6,26,Los Angeles Rams,-0.5008349717,0.4450382437
2013,6,1,Arizona Cardinals,-0.6636483571,0.4287569052
2013,6,23,Las Vegas Raiders,-0.9858784718,0.3965338937
2013,6,31,Tennessee Titans,-1.156812806,0.3794404603
2013,6,13,Houston Texans,-1.273833275,0.3677384134
2013,6,24,Philadelphia Eagles,-1.315861331,0.3635356078
2013,6,4,Buffalo Bills,-1.644722916,0.3306494493
2013,6,18,Minnesota Vikings,-1.650010657,0.3301206752
2013,6,25,Pittsburgh Steelers,-1.688628379,0.326258903
2013,6,30,Tampa Bay Buccaneers,-1.735282484,0.3215934925
2013,6,22,New York Jets,-1.959435189,0.299178222
2013,6,32,Washington Commanders,-2.161905569,0.278931184
2013,6,21,New York Giants,-3.273155468,0.1678061941
2013,6,15,Jacksonville Jaguars,-4.951217409,0
2013,7,10,Denver Broncos,4.459073288,1
2013,7,29,Seattle Seahawks,3.488306188,0.90292329
2013,7,28,San Francisco 49ers,3.383307871,0.8924234583
2013,7,3,Baltimore Ravens,2.593904182,0.8134830893
2013,7,16,Kansas City Chiefs,2.443643328,0.798457004
2013,7,20,New Orleans Saints,2.412538194,0.7953464906
2013,7,5,Carolina Panthers,1.520918977,0.7061845689
2013,7,12,Green Bay Packers,1.48833512,0.7029261832
2013,7,7,Cincinnati Bengals,1.477438115,0.7018364827
2013,7,14,Indianapolis Colts,1.276393337,0.6817320049
2013,7,19,New England Patriots,1.26698049,0.6807907202
2013,7,9,Dallas Cowboys,0.9584040674,0.6499330779
2013,7,27,Los Angeles Chargers,0.9214843184,0.646241103
2013,7,11,Detroit Lions,0.2867785398,0.5827705252
2013,7,17,Miami Dolphins,0.2102555875,0.5751182299
2013,7,2,Atlanta Falcons,0.02594307938,0.5566869791
2013,7,6,Chicago Bears,-0.3415216758,0.5199405036
2013,7,23,Las Vegas Raiders,-0.7081081868,0.4832818525
2013,7,1,Arizona Cardinals,-0.970288117,0.4570638595
2013,7,8,Cleveland Browns,-0.9975774045,0.4543349307
2013,7,26,Los Angeles Rams,-1.203608408,0.4337318304
2013,7,32,Washington Commanders,-1.326647352,0.4214279359
2013,7,24,Philadelphia Eagles,-1.455375083,0.4085551628
2013,7,4,Buffalo Bills,-1.477057981,0.4063868731
2013,7,25,Pittsburgh Steelers,-1.540375862,0.4000550849
2013,7,31,Tennessee Titans,-1.55988832,0.3981038392
2013,7,13,Houston Texans,-1.56841541,0.3972511301
2013,7,22,New York Jets,-1.838735865,0.3702190847
2013,7,21,New York Giants,-2.49479076,0.3046135951
2013,7,18,Minnesota Vikings,-2.580396704,0.2960530008
2013,7,30,Tampa Bay Buccaneers,-2.609990841,0.293093587
2013,7,15,Jacksonville Jaguars,-5.540926712,0
2013,8,10,Denver Broncos,4.459786503,1
2013,8,28,San Francisco 49ers,3.370699223,0.891091272
2013,8,29,Seattle Seahawks,3.329225902,0.88694394
2013,8,16,Kansas City Chiefs,3.110099336,0.8650312833
2013,8,20,New Orleans Saints,2.54381629,0.8084029787
2013,8,3,Baltimore Ravens,2.267967793,0.780818129
2013,8,12,Green Bay Packers,2.106044958,0.7646258455
2013,8,5,Carolina Panthers,1.887328207,0.7427541704
2013,8,7,Cincinnati Bengals,1.823094803,0.7363308301
2013,8,19,New England Patriots,1.436133355,0.6976346853
2013,8,14,Indianapolis Colts,1.256324089,0.6796537586
2013,8,9,Dallas Cowboys,0.9694515007,0.6509664998
2013,8,27,Los Angeles Chargers,0.754936545,0.6295150042
2013,8,11,Detroit Lions,0.3511391332,0.5891352631
2013,8,1,Arizona Cardinals,-0.2803211367,0.5259892361
2013,8,6,Chicago Bears,-0.3090135865,0.5231199911
