Year,TeamID,TeamName,MasseyRating,NormalizedRating
2017,7,Cincinnati Bengals,-2.358546146,0.3306978604
2017,8,Cleveland Browns,-7.327936637,0
2017,9,Dallas Cowboys,1.609752915,0.5947761235
2017,10,Denver Broncos,-3.009640666,0.2873694955
2017,11,Detroit Lions,1.449740284,0.5841277684
2017,12,Green Bay Packers,-0.9267330682,0.4259806768
2017,13,Houston Texans,-4.28660183,0.2023916043
2017,14,Indianapolis Colts,-4.787494262,0.1690587325
2017,15,Jacksonville Jaguars,1.937711229,0.6166007543
2017,16,Kansas City Chiefs,2.298735837,0.6406258467
2017,17,Miami Dolphins,-2.459128984,0.3240043777
2017,18,Minnesota Vikings,4.546800461,0.7902277269
2017,19,New England Patriots,5.05124947,0.823797278
2017,20,New Orleans Saints,4.361784288,0.7779154619
2017,21,New York Giants,-3.613098022,0.2472112393
2017,22,New York Jets,-2.647456372,0.3114717615
2017,23,Las Vegas Raiders,-2.001545779,0.3544551518
2017,24,Philadelphia Eagles,7.699044439,1
2017,25,Pittsburgh Steelers,1.921049704,0.6154919804
2017,26,Los Angeles Rams,1.123148356,0.5623940664
2017,27,Los Angeles Chargers,1.532349056,0.5896251315
2017,28,San Francisco 49ers,-1.273438473,0.402908484
2017,29,Seattle Seahawks,1.305805608,0.5745493523
2017,30,Tampa Bay Buccaneers,-0.8550659522,0.4307499059
2017,31,Tennessee Titans,-1.930975385,0.3591513974
2017,32,Washington Commanders,-0.6512141096,0.4443156276
2016,1,Arizona Cardinals,-0.1173992148,0.4019840341
2016,2,Atlanta Falcons,5.998150516,0.8324999629
2016,3,Baltimore Ravens,-0.2131577579,0.3952429266
2016,4,Buffalo Bills,-0.3803136319,0.3834756662
2016,5,Carolina Panthers,0.2440315338,0.4274276494
2016,6,Chicago Bears,-4.604098223,0.08613419633
2016,7,Cincinnati Bengals,0.01608376184,0.411380826
2016,8,Cleveland Browns,-5.827648679,0
2016,9,Dallas Cowboys,3.519736756,0.658027242
2016,10,Denver Broncos,2.009775682,0.5517306173
2016,11,Detroit Lions,-2.295956117,0.2486203155
2016,12,Green Bay Packers,2.443617014,0.5822717154
2016,13,Houston Texans,-0.4209363161,0.3806159539
2016,14,Indianapolis Colts,-0.5726128785,0.3699383895
2016,15,Jacksonville Jaguars,-4.36740034,0.1027970007
2016,16,Kansas City Chiefs,3.450788858,0.6531735215
2016,17,Miami Dolphins,-0.9387662605,0.3441623154
2016,18,Minnesota Vikings,-0.04539123659,0.4070531748
2016,19,New England Patriots,8.377516152,1
2016,20,New Orleans Saints,0.3686726792,0.4362020034
2016,21,New York Giants,-0.0343329961,0.407831641
2016,22,New York Jets,-2.357220078,0.2443075207
2016,23,Las Vegas Raiders,0.8298923505,0.4686704525
2016,24,Philadelphia Eagles,0.9520862431,0.4772725275
2016,25,Pittsburgh Steelers,3.069923004,0.6263617345
2016,26,Los Angeles Rams,-3.826091403,0.1409034883
2016,27,Los Angeles Chargers,-1.110225143,0.3320921364
2016,28,San Francisco 49ers,-5.590206533,0.0167151982
2016,29,Seattle Seahawks,1.777927076,0.5354091871
2016,30,Tampa Bay Buccaneers,0.660113104,0.4567185147
2016,31,Tennessee Titans,-1.488119427,0.3054895388
2016,32,Washington Commanders,0.4715615057,0.443445061
2015,1,Arizona Cardinals,4.80350976,0.8289288348
2015,2,Atlanta Falcons,-1.104829018,0.3567235766
2015,3,Baltimore Ravens,-1.770628385,0.3035116716
2015,4,Buffalo Bills,-0.8568168918,0.37654516
2015,5,Carolina Panthers,5.453552895,0.880881473
2015,6,Chicago Bears,-0.3241522404,0.4191166947
2015,7,Cincinnati Bengals,4.36907257,0.7942078188
2015,8,Cleveland Browns,-3.364725607,0.1761085014
2015,9,Dallas Cowboys,-3.960754055,0.1284728161
2015,10,Denver Broncos,6.943990794,1
2015,11,Detroit Lions,0.2144713074,0.4621644753
2015,12,Green Bay Packers,4.411326911,0.7975848631
2015,13,Houston Texans,-1.616352653,0.3158416706
2015,14,Indianapolis Colts,-2.248127603,0.2653490594
2015,15,Jacksonville Jaguars,-4.804693262,0.06102364868
2015,16,Kansas City Chiefs,4.505479155,0.8051096829
2015,17,Miami Dolphins,-3.8717224,0.135588389
2015,18,Minnesota Vikings,4.1373065,0.7756846499
2015,19,New England Patriots,3.738832431,0.7438378723
2015,20,New Orleans Saints,-2.408030729,0.2525693086
2015,21,New York Giants,-1.005191489,0.3646867904
2015,22,New York Jets,0.1980692663,0.4608535942
2015,23,Las Vegas Raiders,0.227228178,0.4631840278
2015,24,Philadelphia Eagles,-1.586170978,0.3182538454
2015,25,Pittsburgh Steelers,2.680443646,0.6592495019
2015,26,Los Angeles Rams,-0.08277269236,0.4384081904
2015,27,Los Angeles Chargers,-1.623119044,0.3153008883
2015,28,San Francisco 49ers,-2.661694633,0.2322960247
2015,29,Seattle Seahawks,2.864158767,0.6739323509
2015,30,Tampa Bay Buccaneers,-3.764969951,0.1441202403
2015,31,Tennessee Titans,-5.568234929,0
2015,32,Washington Commanders,-1.924455616,0.2912175175
2014,1,Arizona Cardinals,0.9231491473,0.5226879536
2014,2,Atlanta Falcons,-2.477462671,0.2553064281
2014,3,Baltimore Ravens,2.820766375,0.6718928074
2014,4,Buffalo Bills,1.712059182,0.5847179587
2014,5,Carolina Panthers,-0.702012332,0.3949056077
2014,6,Chicago Bears,-2.125532315,0.2829778238
2014,7,Cincinnati Bengals,0.1886007941,0.4649322703
2014,8,Cleveland Browns,-1.808392612,0.3079137184
2014,9,Dallas Cowboys,2.526943871,0.6487902854
2014,10,Denver Broncos,3.173769299,0.6996485364
2014,11,Detroit Lions,1.038312113,0.5317429269
2014,12,Green Bay Packers,3.367943122,0.7149159341
2014,13,Houston Texans,0.5674657538,0.494721466
2014,14,Indianapolis Colts,3.80476978,0.7492625119
2014,15,Jacksonville Jaguars,-5.472104687,0.01984528364
2014,16,Kansas City Chiefs,1.747996578,0.5875436255
2014,17,Miami Dolphins,1.13370299,0.5392432709
2014,18,Minnesota Vikings,-0.6096195747,0.4021702171
2014,19,New England Patriots,6.993699396,1
2014,20,New Orleans Saints,-0.9474942235,0.3756039861
2014,21,New York Giants,-1.401861213,0.3398782563
2014,22,New York Jets,-2.165641433,0.2798241451
2014,23,Las Vegas Raiders,-3.874302807,0.1454764133
2014,24,Philadelphia Eagles,1.770643306,0.5893242806
2014,25,Pittsburgh Steelers,0.6849630596,0.5039599826
2014,26,Los Angeles Rams,-1.896554564,0.3009817666
2014,27,Los Angeles Chargers,0.9917854454,0.5280846525
2014,28,San Francisco 49ers,-0.4662238806,0.4134450586
2014,29,Seattle Seahawks,6.19078846,0.9368691393
2014,30,Tampa Bay Buccaneers,-5.209359261,0.04050429346
2014,31,Tennessee Titans,-5.724500981,0
2014,32,Washington Commanders,-4.756296117,0.07612750507
2013,1,Arizona Cardinals,3.486958875,0.5907725639
2013,2,Atlanta Falcons,-2.152234566,0.1907464518
2013,3,Baltimore Ravens,-1.46203081,0.2397072701
2013,4,Buffalo Bills,-2.941344833,0.1347695261
2013,5,Carolina Panthers,2.438975774,0.5164320381
2013,6,Chicago Bears,-1.319057773,0.249849314
2013,7,Cincinnati Bengals,0.3072043078,0.3652110771
2013,8,Cleveland Browns,-4.841199379,0
2013,9,Dallas Cowboys,0.4487929871,0.3752549193
2013,10,Denver Broncos,6.224392556,0.7849572402
2013,11,Detroit Lions,-1.172343567,0.2602567445
2013,12,Green Bay Packers,-1.55645423,0.2330091785
2013,13,Houston Texans,-3.292834638,0.1098359781
2013,14,Indianapolis Colts,1.444495201,0.4458868084
2013,15,Jacksonville Jaguars,-4.162167924,0.04816829138
2013,16,Kansas City Chiefs,2.268691602,0.5043526307
2013,17,Miami Dolphins,-0.8769992172,0.2812075158
2013,18,Minnesota Vikings,-2.875982889,0.1394060906
2013,19,New England Patriots,2.32748575,0.5085232971
2013,20,New Orleans Saints,2.763946924,0.5394844387
2013,21,New York Giants,-0.8303543512,0.2845163514
2013,22,New York Jets,-2.050921997,0.1979332372
2013,23,Las Vegas Raiders,-3.583497419,0.08921730219
2013,24,Philadelphia Eagles,0.8675303366,0.4049587902
2013,25,Pittsburgh Steelers,-0.8952209871,0.2799149225
2013,26,Los Angeles Rams,0.9555448992,0.4112022581
2013,27,Los Angeles Chargers,1.82024957,0.4725416059
2013,28,San Francisco 49ers,6.021067968,0.7705340527
2013,29,Seattle Seahawks,9.255863961,1
2013,30,Tampa Bay Buccaneers,-2.126611348,0.1925640799
2013,31,Tennessee Titans,-0.282367856,0.323388738
2013,32,Washington Commanders,-4.209576925,0.04480525044
